short_id,name,address,latitude,longitude,empty_slots,free_bikes
4591,EcoBox Station @ 580S 500W ,580 S 500 W,40.75689,-111.90523,7,5
2737,Energy Development Station @ 136S Main Street,136 S Main St,40.76624,-111.89124,17,2
2255,City Weekly Station @ 353S Main Street,353 S Main St,40.76142,-111.89091,13,10
7607,500N 300W Station,500 N 300 W,40.78045,-111.89945,15,3
4527,CW Urban Station @ theBeverly,63 S 600 W,40.76816,-111.90809,11,5
4594,900S 490E Station,900 S 490 E,40.74991,-111.87725,21,7
7283,21st Street and Grant Ave,21st and Grant Ave,41.22924,-111.97321,9,3
2736,640W  North Temple Station,640 W North Temple,40.77132,-111.90874,11,9
3181,UCAIR Station @ Pioneer Park,300 S 300 W,40.76285,-111.90006,14,6
7799,Visit Salt Lake @ 90 S West Temple ,90 S West Temple,40.76786,-111.89421,4,8
7772,24th Street and Grant Avenue Station,24th Street and Grant Avenue,41.2226,-111.97315,9,3
4530,50S 500W Station,50 S 500 W,40.76833,-111.90529,8,6
4525,Salt Lake County Station @ 2001S State Street,2001 S State St,40.72739,-111.88739,7,5
2259,UTA Salt Lake Central Station @ 290S 600W,290 S 600 W,40.76257,-111.9085,8,24
7515,25th Street and Ogden Ave,25th and Ogden Ave,41.22075,-111.96912,9,3
3183,The Gateway Station @ 100S Rio Grande ,100 S 469 W,40.76713,-111.90424,12,12
2739,CityScape Station @ 190S 400E,190 S 400 E,40.76539,-111.87982,9,4
2735,UCAIR Station @ 450S 200E,450 S 200 E,40.75943,-111.88521,13,4
3425,250S 200W Station,250 S 200 W ,40.76377,-111.89659,14,7
7681,UTA FrontLines Station @ 200S 669W,669 W 200 S,40.76482,-111.91101,8,7
3847,SLUG Mag Station @ 200S 500W,200 S 500 W,40.76474,-111.90558,12,5
2257,Rocky Mountain Power Station @ 225S Main Street,225 S Main St,40.7643,-111.89095,22,12
4619,349S 200E Station,349 S 200 E,40.76154,-111.88511,10,3
3428,UTA FrontRunner Station @ 500W North Temple,500 W North Temple,40.77187,-111.905,3,25
2740,3 & 3 Uncommons Station ,300 S 300 E,40.76297,-111.88286,8,5
7606,855W California Ave Station,855 W California Ave (1350 South),40.74063,-111.91536,11,9
4595,300S 710E Station,300 S 710 E,40.76296,-111.87053,15,5
2251,Key Bank Station @ 6S Main Street,6 S Main St,40.76903,-111.89126,25,3
4603,300S 200E Station,300 S 200 E,40.76265,-111.88568,14,9
4593,The Church of Jesus Christ of Latter-Day Saints Station @ 111N Main Street,111 N Main Street,40.77187,-111.89126,28,0
2742,Twilight Concert Series Station @ 50W Broadway ,50 W 300 S,40.76283,-111.89248,11,3
3185,JF Capital Station @ 300S 500E,300 S 500 E,40.76307,-111.87697,17,4
7277,26th Street and Washington Blvd,26th St and Washington Blvd,41.21869,-111.97083,7,4
7284,Ogden River Parkway Trail & Grant Ave Station,1911 S 315 E,41.23282,-111.97293,15,3
7611,900W 800N Station,900 W 800 N,40.78663,-111.91668,13,7
3184, 100S 500E Station, 100 S 500 E ,40.76746,-111.87664,8,7
2256,400W South Temple Station,400 W South Temple,40.76975,-111.90274,15,4
7610,900W 200N Station,900 W 200 N,40.77397,-111.91667,14,6
2400,Radisson Station @ 215W South Temple,215 W South Temple,40.76906,-111.89707,9,8
7773,Weber Library Station,25th Street and Jefferson Avenue,41.22072,-111.96475,8,2
7774,Ogden Botanical Gardens Station,1750 Monroa Blvd,41.23555,-111.95399,11,3
3182,200S 200E Station,200 S 200 E ,40.76524,-111.88515,5,10
7609,Central 9th Station,900 S 200 W,40.74989,-111.89656,10,16
2738,Sheraton Station @ 500S 150W,500 S 150 W,40.75861,-111.89593,9,6
7634,700 South State Street,700s state street,40.75426,-111.88855,5,9
4524,UTA Central Pointe Station @ 2100S 225W,2100 S 225 W,40.72529,-111.89756,9,3
3427,Salt Lake Mag Station @ 650E 500S,650E 500S,40.75861,-111.87213,10,10
2248,Harmons Station @ 123E 100S,123 E 100 S,40.76704,-111.88774,15,4
2258,The Church of Jesus Christ of Latter-Day Saints Station @ 200W North Temple,200 W North Temple,40.77181,-111.89667,16,7
4528,Artspace Commons Station @ 800S 400W,800 S 400 W,40.75174,-111.90271,12,8
7280,Frontrunner Station @ 2350 Wall Ave,2350 Wall Ave,41.22412,-111.98023,17,5
2252,Squatters Station @ 147W Broadway,147 W Broadway,40.76266,-111.89544,10,5
4590,The Shop @ 450S 300E Station,450 S 300 E,40.7594,-111.88244,16,6
7279,25th Street and Lincoln Ave,25th St and Lincoln Ave,41.22044,-111.9763,17,3
7278,23rd Street and Washington Blvd,23rd St and Washington Blvd,41.22477,-111.97073,12,3
7795,9th & 9th Station,900s 900e,40.74988,-111.86563,7,9
7608,1215E Wilmington Ave Station,1215 E Wilmington Ave,40.72339,-111.85668,6,8
4529,Proper Brewing Co Station @ 867S Main Street,867 S Main St,40.75025,-111.89094,14,6
3423,Dominion Energy Station @ 100S Main Street ,100 S Main St ,40.76732,-111.89085,20,4
